Name,Unit,Expression,Value,Comments,Favorite
guide_count_link1,,4,4,Approx link1_length / guide_spacing,false
pulley_radius,mm,15 mm,15.00,Redirect pulley radius at elbow joint,true
pulley_width,mm,5 mm,5.00,Pulley groove width,false
pulley_groove_depth,mm,1.5 mm,1.50,Groove depth to retain tendon line,false
pulley_wall,mm,3 mm,3.00,Printed pulley wall thickness,false
pulley_bore,mm,bolt_dia,3.00,M3 shaft through pulley center,false
spool_dia,mm,22 mm,22.00,Bidirectional motor spool diameter in base,true
spool_width,mm,12 mm,12.00,Total spool flanged width both grooves,false
spool_groove_width,mm,( spool_width - 3 mm ) / 2,4.50,Width of each groove section on spool,false
spool_flange_dia,mm,spool_dia + 8 mm,30.00,Outer flange OD to retain line,false
spool_wall,mm,3 mm,3.00,Printed spool wall thickness,false
spool_groove_pitch,mm,1.5 mm,1.50,Helical groove pitch - prevents line overlap,false
spool_groove_count,,2,2,Two grooves per spool wound in opposite directions,false
spool_groove_separation,mm,3 mm,3.00,Axial gap between the two groove sections,false
base_limit_deg,deg,340 deg,340.0,Base yaw travel - 20deg reserved for cable clearance,true
shoulder_limit_neg_deg,deg,-10 deg,-10.0,Shoulder droop below horizontal,true
shoulder_limit_pos_deg,deg,150 deg,150.0,Shoulder max upward pitch,true
elbow_limit_neg_deg,deg,0 deg,0.0,Elbow full extension,true
elbow_limit_pos_deg,deg,150 deg,150.0,Elbow max fold,true
wrist_limit_neg_deg,deg,-90 deg,-90.0,Wrist down,true
wrist_limit_pos_deg,deg,90 deg,90.0,Wrist up,true
shoulder_motor_mount_wall,mm,4 mm,4.00,Printed housing wall around shoulder motor at joint,false
motor_total_base,,3,3,Yaw + Elbow bidirectional + Wrist bidirectional,false
motor_total_shoulder,,1,1,Shoulder pitch direct drive at joint,false
motor_gripper_count,,2,2,One per gripper DOF - location TBD,false
motor_total_all,,6,6,Base(3) + Shoulder(1) + Gripper(2),true
motor_placeholder_width,mm,42 mm,42.00,NEMA17 footprint placeholder - update when motor chosen,false
motor_placeholder_depth,mm,42 mm,42.00,NEMA17 footprint placeholder,false
motor_placeholder_height,mm,48 mm,48.00,NEMA17 height placeholder,false
motor_shaft_dia,mm,5 mm,5.00,Placeholder shaft diameter,false
base_od,mm,130 mm,130.00,Base outer diameter - revisit after gripper motor location decided,true
base_height,mm,120 mm,120.00,Total base height including routing overhead,true
base_wall,mm,4 mm,4.00,Outer shell wall thickness,false
base_floor_thickness,mm,5 mm,5.00,Bottom plate thickness,false
base_top_thickness,mm,6 mm,6.00,Top plate - arm load bearing,false
base_inner_routing_zone,mm,30 mm,30.00,Vertical space above motors for line routing,false
base_motor_bay_count,,3,3,Confirmed base motors - update if gripper motors added,false
base_yaw_bearing_od,mm,50 mm,50.00,Lazy susan or thrust bearing OD,false
base_yaw_bearing_id,mm,35 mm,35.00,Inner bore of base rotation bearing,false
cable_exit_port_count,,6,6,Ports at top of base - 2 external elbow + 4 bore,false
cable_exit_port_dia,mm,ptfe_liner_od + 2 mm,6.00,Port ID fits PTFE liner OD with clearance,false
panel_connector_count,,3,3,Panel-mount connectors on base exterior face,false
panel_face_width,mm,60 mm,60.00,Dedicated electrical panel face width on base,false
module_bolt_pattern_dia,mm,base_od - 20 mm,110.00,Bolt circle for swappable module face plates,false
module_bolt_count,,6,6,M3 bolts on module face plate ring,false
din_rail_length,mm,80 mm,80.00,Internal DIN rail for controller board mounting,false
urdf_link1_m,mm,link1_length / 1000,0.20,Mirrors link1_length in meters for URDF,false
urdf_link2_m,mm,link2_length / 1000,0.18,Mirrors link2_length in meters for URDF,false
urdf_link3_m,mm,link3_length / 1000,0.08,Mirrors link3_length in meters for URDF,false
insert_clearnace,mm,2 mm,2.00,,false
lazy_susan_od,cm,12 cm,12.00,,false
lazy_susan_id,cm,10 cm,10.00,,false
lazy_susan_thickness,mm,12 mm,12.00,,false
joint_wall_thckness,mm,6 mm,6.00,the extra thickness around the shaft and the bearing,false
joint_bearing_od,mm,41.5 mm,41.50,the outer diameter of the joints bearings,false
joint_wall_thickness,mm,8 mm,8.00,minimal joint wall thickness,false
joint_radius,mm,joint_bolt_diam + general_hole_clearance * 2,57.70,General joint radius,false
joint_width,mm,connector_socket_od + 10 mm,39.30,"Connector width
",false
bolt_insert_window_len,mm,15 mm,15.00,,false
bolt_meat,mm,4 mm,4.00,thickness for the bolt to hold on,false
bolt_insert_window_dimesnsions,mm,7 mm,7.00,"connector window dimensions
",false
shaftlock_bolt_clearance,mm,4.2 mm,4.20,,false
shaftlock_bolt_taper_width,mm,6 mm,6.00,,false
joint_lift,mm,10 mm,10.00,the distance to lift the joint for clearance,false
joint_tube_diam,mm,19.5 mm,19.50,,false
joint_bearing_id,mm,19 mm,19.00,,false
joint_bolt_diam,mm,joint_bearing_od + insert_hole_dia + general_hole_clearance,49.70,,false
joint_bearing_depth,mm,11 mm + 2 mm,13.00,,false
general_hole_clearance,mm,4 mm,4.00,,false
m4_insert_od,mm,5.15 mm,5.15,,false
m4_bolt_clearance,mm,4.4 mm,4.40,,false
